review_group,SITE_SK,DIRECTION_SK,start,end,action,confidence,diagnosis,reviewer,status
G0097,97,,2012-09-19,2012-09-19,missing,high,"Installation day: the counter only recorded the last part of the day, but the earlier zeros are marked good so it looks like a complete day.",count-reviewer,proposed
G0097,97,,2015-03-03,2015-03-03,missing,medium,"Restart day after a 26-month warning gap: every slot is zero until 09:00, so the East morning peak is missing.",count-reviewer,proposed
G0097,97,,2015-03-20,2015-03-20,missing,medium,"Restart day after a warning gap (Mar 6-19): every slot is zero until about 08:30, which cuts off the morning peak.",count-reviewer,proposed
G0097,97,,2015-07-09,2015-07-09,missing,medium,"An isolated day between warning gaps with every slot zero until about 10:30, so the day is only partly counted.",count-reviewer,proposed
G0097,97,,2015-11-19,2015-11-19,missing,medium,"Restart day after a warning gap: every slot is zero until about 09:30, so the East morning peak is missing.",count-reviewer,proposed
G0097,97,,2016-11-16,2016-11-16,missing,medium,"Restart day after 10 months of warnings: every slot is zero until 11:00, although site 96 recorded bikes from 08:00 to 11:00.",count-reviewer,proposed
G0098,98,67,2018-10-03,2019-05-05,missing,high,"The South East (citybound) sensor channel under-counted intermittently while the North West direction and the Anzac Bridge counter stayed normal, so bikes were lost rather than moved between directions.",count-reviewer,proposed
G0098,98,67,2019-06-01,2019-07-14,missing,medium,"Same intermittent South East under-count, back after a month of normal readings.",count-reviewer,proposed
G0098,98,67,2019-08-26,2020-03-31,missing,high,The South East under-count returned and persisted until the counter went offline in March 2020; after the 2021 restart the direction split is normal again.,count-reviewer,proposed
G0098,98,68,2019-05-27,2019-06-03,uncertain,low,"The North West direction lost most of its evening peak for a week, while the South East direction was normal; this could be a sensor fault or a real evening diversion, since Anzac Bridge westbound also fell about 25% on the same days.",count-reviewer,proposed
G0121,121,,2009-05-07,2009-05-07,missing,high,"Installation day: data only begins at 13:30, so the day is partial but the earlier zeros are counted as valid.",count-reviewer,proposed
G0121,121,,2009-06-29,2009-06-29,missing,high,"The counter stopped at 08:00, just before a week of warning records; dir 63 keeps a full 'valid' day of zeros after 08:00.",count-reviewer,proposed
G0121,121,,2010-03-25,2010-03-25,restore,low,"The evening slots of 25 March were set missing by zero_outage, but they hold normal low evening counts; the real outage only starts on the morning of 26 March.",count-reviewer,proposed
G0121,121,,2012-06-10,2012-06-12,restore,medium,"zero_outage removed low counts that both directions show in the same sparse pattern all day; this is weather or holiday low use, not an outage.",count-reviewer,proposed
G0121,121,,2013-01-27,2013-01-28,restore,medium,"zero_outage removed low counts that both directions show in the same sparse pattern all day; this is weather or holiday low use, not an outage.",count-reviewer,proposed
G0121,121,,2013-06-01,2013-06-02,restore,medium,"zero_outage removed low counts that both directions show in the same sparse pattern all day; this is weather or holiday low use, not an outage.",count-reviewer,proposed
G0121,121,,2013-06-11,2014-01-09,uncertain,low,"After the June 2013 long weekend, counts dropped about 75% in both directions and stayed low until the counter failed in January 2014; the drop is uneven (the commuter peaks all but vanished) and site 92 on the same corridor did not drop, so it could be a local diversion or a failing sensor.",count-reviewer,proposed
G0121,121,,2014-01-10,2014-01-10,missing,high,Last day before a 2-year warning outage: data ends at 08:45 and the rest of the day is zeros counted as valid.,count-reviewer,proposed
G0121,121,,2016-01-01,2017-06-30,missing,high,"Data from the brief restart in 2016-17 is not credible bike counting: it is erratic, with frequent warnings, very few non-zero slots and implausible bursts.",count-reviewer,proposed
G0121,121,,2020-10-21,2020-10-21,missing,high,"Reinstallation day: data begins at 13:45, so the day is partial but the earlier zeros are counted as valid.",count-reviewer,proposed
G0121,121,,2020-10-21,2020-12-03,direction_unreliable,high,"After reinstallation the directions were swapped: direction 64 (outbound) carried the morning citybound peak and 63 the evening peak, until the gap in December 2020.",count-reviewer,proposed
